finger_x,finger_y,finger_z,label
0.623737931,0.251737088,0.623737931,left
0.651328325,0.254591167,0.651328325,left
0.373406947,0.334659398,0.373406947,left
0.365577787,0.332707345,0.365577787,left
0.393773586,0.330528796,0.393773586,left
0.423714221,0.318636596,0.423714221,left
0.481725514,0.301950932,0.481725514,left
0.567367554,0.281566024,0.567367554,left
0.652411222,0.270988733,0.652411222,left
0.737032533,0.268514335,0.737032533,left
0.798268378,0.261296868,0.798268378,left
0.82607168,0.248599023,0.82607168,left
0.631796122,0.256626934,0.631796122,left
0.613459051,0.264586329,0.613459051,left
0.594247103,0.273381829,0.594247103,left
0.52710712,0.281666756,0.52710712,left
0.480888039,0.291264385,0.480888039,left
0.448698997,0.303761274,0.448698997,left
0.398240328,0.31474936,0.398240328,left
0.380416662,0.327054471,0.380416662,left
0.598949134,0.277227163,0.598949134,left
0.617457807,0.280995071,0.617457807,left
0.285834163,0.346978247,0.285834163,left
0.28478685,0.34899199,0.28478685,left
0.299573094,0.347114444,0.299573094,left
0.350594938,0.336066365,0.350594938,left
0.408740342,0.331396639,0.408740342,left
0.488789767,0.318255693,0.488789767,left
0.548330605,0.318918258,0.548330605,left
0.614972711,0.337038577,0.614972711,left
0.658332825,0.34393096,0.658332825,left
0.664184868,0.34367162,0.664184868,left
0.619146228,0.281401366,0.619146228,left
0.590958595,0.280185223,0.590958595,left
0.580403566,0.288719475,0.580403566,left
0.569070995,0.296328902,0.569070995,left
0.489454538,0.303147018,0.489454538,left
0.395780087,0.315202415,0.395780087,left
0.337919772,0.336051792,0.337919772,left
0.30068028,0.341643721,0.30068028,left
0.666133225,0.267698407,0.666133225,left
0.677666187,0.273069799,0.677666187,left
0.303406179,0.315675318,0.303406179,left
0.323232979,0.30725503,0.323232979,left
0.334117919,0.305636466,0.334117919,left
0.363485068,0.304001421,0.363485068,left
0.438401759,0.300942034,0.438401759,left
0.520757794,0.297127604,0.520757794,left
0.602635324,0.294921637,0.602635324,left
0.620959044,0.308247775,0.620959044,left
0.605529547,0.304989457,0.605529547,left
0.597425044,0.301545024,0.597425044,left
0.667929053,0.282794058,0.667929053,left
0.637396872,0.285525739,0.637396872,left
0.542906225,0.288054168,0.542906225,left
0.425879449,0.29135412,0.425879449,left
0.34062022,0.303684831,0.34062022,left
0.322247267,0.311684251,0.322247267,left
0.313372076,0.315705895,0.313372076,left
0.303863555,0.319250762,0.303863555,left
0.632737994,0.267672777,0.632737994,left
0.645747602,0.263774514,0.645747602,left
0.334367096,0.30070737,0.334367096,left
0.316585898,0.303370357,0.316585898,left
0.32976675,0.302809179,0.32976675,left
0.379949093,0.298112035,0.379949093,left
0.457392067,0.296021342,0.457392067,left
0.573078871,0.288044721,0.573078871,left
0.630511105,0.28009671,0.630511105,left
0.622819722,0.289714336,0.622819722,left
0.611178041,0.282362103,0.611178041,left
0.593886673,0.278276503,0.593886673,left
0.653786719,0.258404076,0.653786719,left
0.64245224,0.264623612,0.64245224,left
0.608530104,0.264910519,0.608530104,left
0.564967573,0.270530552,0.564967573,left
0.436095029,0.288465917,0.436095029,left
0.334887624,0.296847045,0.334887624,left
0.340751082,0.299438953,0.340751082,left
0.348159045,0.299533069,0.348159045,left
0.664536774,0.276558399,0.664536774,left
0.678679764,0.268691152,0.678679764,left
0.400040001,0.331933826,0.400040001,left
0.390742123,0.329184294,0.390742123,left
0.388654768,0.334185004,0.388654768,left
0.401129782,0.330807745,0.401129782,left
0.447944432,0.329381675,0.447944432,left
0.527158022,0.325360358,0.527158022,left
0.611437619,0.328061968,0.611437619,left
0.670576453,0.345081508,0.670576453,left
0.605839968,0.348178804,0.605839968,left
0.598152399,0.342063636,0.598152399,left
0.696570098,0.277798355,0.696570098,left
0.684245765,0.281363904,0.684245765,left
0.647216856,0.289964378,0.647216856,left
0.581105232,0.301638067,0.581105232,left
0.501033187,0.315189272,0.501033187,left
0.462153971,0.322006047,0.462153971,left
0.408733696,0.327467501,0.408733696,left
0.381436139,0.338411927,0.381436139,left
0.546837211,0.218125075,0.546837211,right
0.566769183,0.211009756,0.566769183,right
0.802904129,0.198560625,0.802904129,right
0.703098893,0.21699059,0.703098893,right
0.612363577,0.219490275,0.612363577,right
0.55242008,0.230941072,0.55242008,right
0.500913501,0.249555424,0.500913501,right
0.456152529,0.261210769,0.456152529,right
0.429097295,0.271693051,0.429097295,right
0.440251231,0.269988835,0.440251231,right
0.454245329,0.2678321,0.454245329,right
0.460400939,0.264334202,0.460400939,right
0.638852656,0.193042159,0.638852656,right
0.685348868,0.187419385,0.685348868,right
0.758485794,0.180544302,0.758485794,right
0.797783315,0.17641069,0.797783315,right
0.834245384,0.192124754,0.834245384,right
0.876634479,0.202383325,0.876634479,right
0.863315642,0.20304203,0.863315642,right
0.848235607,0.202064618,0.848235607,right
0.512810349,0.283180594,0.512810349,right
0.519961476,0.286057204,0.519961476,right
0.817634344,0.273528278,0.817634344,right
0.815785527,0.274570405,0.815785527,right
0.780217171,0.274299413,0.780217171,right
0.704503,0.282317519,0.704503,right
0.591341794,0.299591839,0.591341794,right
0.522048771,0.306278288,0.522048771,right
0.483992755,0.327316314,0.483992755,right
0.474115431,0.3265706,0.474115431,right
0.48587209,0.325105667,0.48587209,right
0.495021582,0.323860407,0.495021582,right
0.507459998,0.278592169,0.507459998,right
0.512757301,0.285989732,0.512757301,right
0.602497339,0.284896046,0.602497339,right
0.675496042,0.271242738,0.675496042,right
0.765516579,0.260128379,0.765516579,right
0.800797999,0.260695815,0.800797999,right
0.814870477,0.264200628,0.814870477,right
0.812546432,0.268902004,0.812546432,right
0.476474017,0.281071603,0.476474017,right
0.473835766,0.28229624,0.473835766,right
0.797406375,0.228574663,0.797406375,right
0.811693251,0.232070133,0.811693251,right
0.801239848,0.23320359,0.801239848,right
0.778761148,0.234691218,0.778761148,right
0.711023927,0.242070198,0.711023927,right
0.678815603,0.235044912,0.678815603,right
0.613366306,0.250335932,0.613366306,right
0.566214442,0.263098717,0.566214442,right
0.538366199,0.276866138,0.538366199,right
0.509787261,0.290044248,0.509787261,right
0.491408885,0.279438555,0.491408885,right
0.510910988,0.265680641,0.510910988,right
0.53352344,0.261093974,0.53352344,right
0.595280111,0.252106667,0.595280111,right
0.662761807,0.241588429,0.662761807,right
0.697558045,0.235698029,0.697558045,right
0.732446969,0.234280586,0.732446969,right
0.74531889,0.232708588,0.74531889,right
0.431925923,0.285057366,0.431925923,right
0.425934613,0.28975451,0.425934613,right
0.591622829,0.241902009,0.591622829,right
0.459773421,0.279825687,0.459773421,right
0.443590671,0.289405614,0.443590671,right
0.442550719,0.291168392,0.442550719,right
0.438777566,0.293449163,0.438777566,right
0.430437863,0.300362319,0.430437863,right
0.438078642,0.29956454,0.438078642,right
0.46001929,0.300227821,0.46001929,right
0.463703215,0.298148096,0.463703215,right
0.468886495,0.292349398,0.468886495,right
0.42216292,0.289580762,0.42216292,right
0.498781681,0.270490289,0.498781681,right
0.644045055,0.232472003,0.644045055,right
0.820629954,0.211634785,0.820629954,right
0.899445474,0.21586962,0.899445474,right
0.879144132,0.212238148,0.879144132,right
0.841602445,0.218626827,0.841602445,right
0.767775297,0.221308187,0.767775297,right
0.597012281,0.299369454,0.597012281,right
0.68479681,0.277410448,0.68479681,right
0.404828489,0.3555547,0.404828489,right
0.424330056,0.358755231,0.424330056,right
0.439451993,0.351168662,0.439451993,right
0.45137614,0.349075496,0.45137614,right
0.45443204,0.342878997,0.45443204,right
0.461320519,0.335596561,0.461320519,right
0.467695117,0.335195303,0.467695117,right
0.466826022,0.336178392,0.466826022,right
0.465685308,0.333735883,0.465685308,right
0.47564888,0.335071206,0.47564888,right
0.80689615,0.261157095,0.80689615,right
0.942012787,0.252262115,0.942012787,right
0.932421505,0.260026902,0.932421505,right
0.870118022,0.271070659,0.870118022,right
0.806307077,0.261800408,0.806307077,right
0.643319666,0.285564154,0.643319666,right
0.478854567,0.324324757,0.478854567,right
0.390029579,0.355401695,0.390029579,right
0.547466993,0.294822216,0.547466993,left_click
0.547015071,0.296564519,0.547015071,left_click
0.522764087,0.603029609,0.522764087,left_click
0.526339114,0.587630987,0.526339114,left_click
0.552469969,0.316890836,0.552469969,left_click
0.564505279,0.278469563,0.564505279,left_click
0.551202714,0.285539329,0.551202714,left_click
0.550337374,0.294347346,0.550337374,left_click
0.552121758,0.290846765,0.552121758,left_click
0.559017479,0.289095581,0.559017479,left_click
0.55203408,0.295835555,0.55203408,left_click
0.543719172,0.291502267,0.543719172,left_click
0.550284266,0.294147074,0.550284266,left_click
0.542226434,0.294777036,0.542226434,left_click
0.542070985,0.287266493,0.542070985,left_click
0.541388512,0.287631959,0.541388512,left_click
0.541571736,0.291953385,0.541571736,left_click
0.554374218,0.291248083,0.554374218,left_click
0.471047521,0.527115464,0.471047521,left_click
0.504468441,0.593580186,0.504468441,left_click
0.57460916,0.223053634,0.57460916,left_click
0.575247288,0.220012069,0.575247288,left_click
0.525390148,0.394928962,0.525390148,left_click
0.545746565,0.526340485,0.545746565,left_click
0.544976771,0.56051147,0.544976771,left_click
0.548748076,0.561148405,0.548748076,left_click
0.53642565,0.4652946,0.53642565,left_click
0.560272634,0.257950634,0.560272634,left_click
0.585088909,0.214440182,0.585088909,left_click
0.576069713,0.207293004,0.576069713,left_click
0.569550633,0.208963335,0.569550633,left_click
0.562585831,0.207284659,0.562585831,left_click
0.579418778,0.219569966,0.579418778,left_click
0.583738267,0.217854381,0.583738267,left_click
0.584104002,0.212633982,0.584104002,left_click
0.5790205,0.211532548,0.5790205,left_click
0.567990124,0.209272176,0.567990124,left_click
0.567929804,0.209838375,0.567929804,left_click
0.567470729,0.205732539,0.567470729,left_click
0.55215162,0.262465864,0.55215162,left_click
0.530465424,0.247872084,0.530465424,left_click
0.539217889,0.24834308,0.539217889,left_click
0.544910908,0.248925254,0.544910908,left_click
0.541711271,0.255921364,0.541711271,left_click
0.540187895,0.257923096,0.540187895,left_click
0.540595293,0.256257415,0.540595293,left_click
0.52761066,0.251401842,0.52761066,left_click
0.513526142,0.246911183,0.513526142,left_click
0.519446969,0.244162247,0.519446969,left_click
0.51856792,0.242839232,0.51856792,left_click
0.519311368,0.244303629,0.519311368,left_click
0.518680751,0.248350471,0.518680751,left_click
0.539917946,0.252512872,0.539917946,left_click
0.451974094,0.439303279,0.451974094,left_click
0.479348451,0.578495741,0.479348451,left_click
0.511719227,0.606054425,0.511719227,left_click
0.516974449,0.602327704,0.516974449,left_click
0.50638485,0.594385266,0.50638485,left_click
0.45631808,0.356160253,0.45631808,left_click
0.532523692,0.257385254,0.532523692,left_click
0.531371891,0.232717335,0.531371891,left_click
0.533968449,0.233124465,0.533968449,left_click
0.493104458,0.33394444,0.493104458,left_click
0.56937629,0.256667435,0.56937629,left_click
0.602973938,0.245185837,0.602973938,left_click
0.577095628,0.245532021,0.577095628,left_click
0.578795135,0.243139118,0.578795135,left_click
0.581616044,0.239522949,0.581616044,left_click
0.589764535,0.242202044,0.589764535,left_click
0.586846292,0.249505132,0.586846292,left_click
0.575887382,0.253362119,0.575887382,left_click
0.574967146,0.256019413,0.574967146,left_click
0.528863907,0.228005886,0.528863907,left_click
0.516143143,0.228794098,0.516143143,left_click
0.525892138,0.228724211,0.525892138,left_click
0.525821805,0.243967414,0.525821805,left_click
0.473157674,0.33242172,0.473157674,left_click
0.447098196,0.430333495,0.447098196,left_click
0.449435681,0.472723961,0.449435681,left_click
0.453270733,0.469466299,0.453270733,left_click
0.504079103,0.295013726,0.504079103,left_click
0.514228821,0.294443399,0.514228821,left_click
0.493866354,0.289172977,0.493866354,left_click
0.487683356,0.286339283,0.487683356,left_click
0.493043423,0.28711015,0.493043423,left_click
0.485858709,0.286744058,0.485858709,left_click
0.490433455,0.283510029,0.490433455,left_click
0.492748052,0.287294269,0.492748052,left_click
0.483963013,0.293476403,0.483963013,left_click
0.482718408,0.291984141,0.482718408,left_click
0.4865987,0.291474998,0.4865987,left_click
0.487118453,0.29253608,0.487118453,left_click
0.530642807,0.285975456,0.530642807,left_click
0.442512363,0.530935347,0.442512363,left_click
0.478424907,0.588745415,0.478424907,left_click
0.454892606,0.408688188,0.454892606,left_click
0.512154341,0.284244269,0.512154341,left_click
0.508744359,0.282742023,0.508744359,left_click
0.510910153,0.290944815,0.510910153,left_click
0.498762935,0.286831737,0.498762935,left_click
0.466919482,0.207405701,0.466919482,right_click
0.44878307,0.216575801,0.44878307,right_click
0.484244317,0.215433583,0.484244317,right_click
0.464166015,0.219672948,0.464166015,right_click
0.465426505,0.217385828,0.465426505,right_click
0.469122976,0.219968885,0.469122976,right_click
0.468606085,0.219222099,0.468606085,right_click
0.475309014,0.215699136,0.475309014,right_click
0.46941489,0.220113382,0.46941489,right_click
0.468889505,0.221294135,0.468889505,right_click
0.464280009,0.21966815,0.464280009,right_click
0.466964036,0.22044383,0.466964036,right_click
0.40986529,0.418057024,0.40986529,right_click
0.449227244,0.532092631,0.449227244,right_click
0.496572495,0.563153565,0.496572495,right_click
0.516142309,0.575347483,0.516142309,right_click
0.510739088,0.577371001,0.510739088,right_click
0.376085907,0.397500366,0.376085907,right_click
0.394439995,0.241570756,0.394439995,right_click
0.435185254,0.207181901,0.435185254,right_click
0.515988111,0.243859112,0.515988111,right_click
0.518471837,0.243649915,0.518471837,right_click
0.447476625,0.243136868,0.447476625,right_click
0.448075056,0.246776313,0.448075056,right_click
0.440022618,0.243856311,0.440022618,right_click
0.441937774,0.242284343,0.441937774,right_click
0.444072425,0.246131912,0.444072425,right_click
0.45060879,0.246066496,0.45060879,right_click
0.446812481,0.248266309,0.446812481,right_click
0.45144403,0.244990438,0.45144403,right_click
0.44875893,0.244840428,0.44875893,right_click
0.451519459,0.243863747,0.451519459,right_click
0.495834947,0.245066807,0.495834947,right_click
0.415964216,0.2878654,0.415964216,right_click
0.403865278,0.447370887,0.403865278,right_click
0.422956467,0.491738558,0.422956467,right_click
0.434334517,0.476310313,0.434334517,right_click
0.40383473,0.384075344,0.40383473,right_click
0.446349621,0.259266585,0.446349621,right_click
0.444158614,0.241915032,0.444158614,right_click
0.509777784,0.22954388,0.509777784,right_click
0.516878247,0.225075841,0.516878247,right_click
0.42686519,0.370401174,0.42686519,right_click
0.418768823,0.28935492,0.418768823,right_click
0.429141134,0.251564205,0.429141134,right_click
0.447866142,0.235563114,0.447866142,right_click
0.476448298,0.239705414,0.476448298,right_click
0.482097983,0.24989146,0.482097983,right_click
0.486375868,0.251790583,0.486375868,right_click
0.484228015,0.249564469,0.484228015,right_click
0.482338428,0.25495103,0.482338428,right_click
0.482671618,0.253023475,0.482671618,right_click
0.508346856,0.223180145,0.508346856,right_click
0.492027283,0.232375324,0.492027283,right_click
0.435958236,0.330189615,0.435958236,right_click
0.459093451,0.460331976,0.459093451,right_click
0.452157915,0.475776136,0.452157915,right_click
0.447045267,0.4979904,0.447045267,right_click
0.458829254,0.495513886,0.458829254,right_click
0.454229712,0.48741442,0.454229712,right_click
0.605332911,0.240220398,0.605332911,right_click
0.604209781,0.240696803,0.604209781,right_click
0.515192986,0.581668675,0.515192986,right_click
0.52498734,0.498679996,0.52498734,right_click
0.511379242,0.339030266,0.511379242,right_click
0.523976207,0.278133273,0.523976207,right_click
0.527546942,0.245097488,0.527546942,right_click
0.510402977,0.246709749,0.510402977,right_click
0.528965652,0.251265466,0.528965652,right_click
0.501275659,0.255252779,0.501275659,right_click
0.496264666,0.257510483,0.496264666,right_click
0.498441577,0.258418441,0.498441577,right_click
0.589520276,0.239584103,0.589520276,right_click
0.596002281,0.239369899,0.596002281,right_click
0.590025961,0.240644112,0.590025961,right_click
0.584732413,0.237877741,0.584732413,right_click
0.561765313,0.260749757,0.561765313,right_click
0.512398899,0.365772486,0.512398899,right_click
0.499133915,0.537146032,0.499133915,right_click
0.510510743,0.573545396,0.510510743,right_click
0.494629174,0.262298733,0.494629174,right_click
0.505571187,0.264460087,0.505571187,right_click
0.461198717,0.261205435,0.461198717,right_click
0.459975362,0.261268914,0.459975362,right_click
0.467034519,0.258319378,0.467034519,right_click
0.467525959,0.256989092,0.467525959,right_click
0.474831253,0.257471621,0.474831253,right_click
0.47971493,0.258890271,0.47971493,right_click
0.478532344,0.255387425,0.478532344,right_click
0.474791497,0.253260016,0.474791497,right_click
0.479550838,0.25336042,0.479550838,right_click
0.465782762,0.254502594,0.465782762,right_click
0.499610752,0.264363766,0.499610752,right_click
0.471902639,0.432347536,0.471902639,right_click
0.494659156,0.581649423,0.494659156,right_click
0.445530355,0.262129992,0.445530355,right_click
0.447055817,0.26536715,0.447055817,right_click
0.444818139,0.263199389,0.444818139,right_click
0.455199093,0.264558882,0.455199093,right_click
0.455835313,0.262420654,0.455835313,right_click
0.481959641,0.227798656,0.481959641,pause
0.480922639,0.228707477,0.480922639,pause
0.458300978,0.262617975,0.458300978,pause
0.473921865,0.262513697,0.473921865,pause
0.469723761,0.266434461,0.469723761,pause
0.483208209,0.269085646,0.483208209,pause
0.486927688,0.268762618,0.486927688,pause
0.476886809,0.274711609,0.476886809,pause
0.477537453,0.272373021,0.477537453,pause
0.492197663,0.26790607,0.492197663,pause
0.488512218,0.278292775,0.488512218,pause
0.480178714,0.273247212,0.480178714,pause
0.495153844,0.22847487,0.495153844,pause
0.48080653,0.232915804,0.48080653,pause
0.474525213,0.237785295,0.474525213,pause
0.471665472,0.245620817,0.471665472,pause
0.477981329,0.251254618,0.477981329,pause
0.484423965,0.255368203,0.484423965,pause
0.467551768,0.260035574,0.467551768,pause
0.464815497,0.261730462,0.464815497,pause
0.551791489,0.309346855,0.551791489,pause
0.53470844,0.318012297,0.53470844,pause
0.490427583,0.324328512,0.490427583,pause
0.493717253,0.322759449,0.493717253,pause
0.492665797,0.325713813,0.492665797,pause
0.493329614,0.322664648,0.493329614,pause
0.499248087,0.327229619,0.499248087,pause
0.49676621,0.328253806,0.49676621,pause
0.502116919,0.329923034,0.502116919,pause
0.504227638,0.333760858,0.504227638,pause
0.505329788,0.338692307,0.505329788,pause
0.505439281,0.331476688,0.505439281,pause
0.518722415,0.315173268,0.518722415,pause
0.510639429,0.312792122,0.510639429,pause
0.493744403,0.313699245,0.493744403,pause
0.487787068,0.313290387,0.487787068,pause
0.496939301,0.316784292,0.496939301,pause
0.471660376,0.321984589,0.471660376,pause
0.465620428,0.319362164,0.465620428,pause
0.478261352,0.323096395,0.478261352,pause
0.488619983,0.290235519,0.488619983,pause
0.466928959,0.290114522,0.466928959,pause
0.459234625,0.294529647,0.459234625,pause
0.459624767,0.297227204,0.459624767,pause
0.459517181,0.291590124,0.459517181,pause
0.463143438,0.291070938,0.463143438,pause
0.462103724,0.289870679,0.462103724,pause
0.464519888,0.289218724,0.464519888,pause
0.471996337,0.288854122,0.471996337,pause
0.467446417,0.291737735,0.467446417,pause
0.473763973,0.286734045,0.473763973,pause
0.47278595,0.291808099,0.47278595,pause
0.473460078,0.280973256,0.473460078,pause
0.486198992,0.29362905,0.486198992,pause
0.4935624,0.284303784,0.4935624,pause
0.486301243,0.279691279,0.486301243,pause
0.471501231,0.289595366,0.471501231,pause
0.470364988,0.296643883,0.470364988,pause
0.472290903,0.295585155,0.472290903,pause
0.464020997,0.295353591,0.464020997,pause
0.50610286,0.243461266,0.50610286,pause
0.497788876,0.246573642,0.497788876,pause
0.460123122,0.257791787,0.460123122,pause
0.455502003,0.252682447,0.455502003,pause
0.464357287,0.25551939,0.464357287,pause
0.468701988,0.26066941,0.468701988,pause
0.464829624,0.25371623,0.464829624,pause
0.465039343,0.255979478,0.465039343,pause
0.45541209,0.253381729,0.45541209,pause
0.46178174,0.2536484,0.46178174,pause
0.463052571,0.253160834,0.463052571,pause
0.457736343,0.254054606,0.457736343,pause
0.498053879,0.254229128,0.498053879,pause
0.483073115,0.252036959,0.483073115,pause
0.47289142,0.256327629,0.47289142,pause
0.471032262,0.253911972,0.471032262,pause
0.462008238,0.251233995,0.462008238,pause
0.472392052,0.255279541,0.472392052,pause
0.463180125,0.2552917,0.463180125,pause
0.45879215,0.251777261,0.45879215,pause
0.504368246,0.265722066,0.504368246,pause
0.520042062,0.267224252,0.520042062,pause
0.485806644,0.274155259,0.485806644,pause
0.492385,0.273632169,0.492385,pause
0.498764783,0.27686879,0.498764783,pause
0.505415082,0.276100367,0.505415082,pause
0.504533172,0.273602456,0.504533172,pause
0.500827968,0.272539943,0.500827968,pause
0.507093728,0.277493149,0.507093728,pause
0.507348299,0.278890193,0.507348299,pause
0.504937887,0.275799513,0.504937887,pause
0.504209459,0.273174763,0.504209459,pause
0.514116108,0.25905031,0.514116108,pause
0.500742435,0.269689739,0.500742435,pause
0.503400922,0.263835549,0.503400922,pause
0.494127065,0.266634762,0.494127065,pause
0.490561694,0.270063668,0.490561694,pause
0.493543655,0.274186552,0.493543655,pause
0.494407982,0.276445061,0.494407982,pause
0.496921897,0.2795403,0.496921897,pause
